TS_ID,TS_GROUP,TRAINING_WINDOW,PREDICTION_WINDOW,MODEL,TS_METRIC,RMSE,SMAPE,R2_SCORE,TRAINING_TIME,PREDICTION_TIME,N_SAMPLES,N_MISSING
0,institutions,24,24,LSTM,n_bytes,17612968865.83749,22.064001283479264,0.7290684747448932,0.8447299003601074,0.0,168,0
1,institutions,24,24,LSTM,n_bytes,16125401892.978285,28.055221718246422,0.5067182663216079,0.4100027084350586,0.0,168,0
2,institutions,24,24,LSTM,n_bytes,36150779937.61533,31.956651515735366,0.1470422978753414,0.33327651023864746,0.0,168,0
3,institutions,24,24,LSTM,n_bytes,8365079721.815936,34.99052637139003,0.5832954633825429,0.32881736755371094,0.0,168,0
4,institutions,24,24,LSTM,n_bytes,129889361.35215339,117.503990941523,0.2610062056325324,0.4163644313812256,0.0,168,0
5,institutions,24,24,LSTM,n_bytes,1092406515.8180773,110.01980772490853,0.1299233157708719,0.46573686599731445,0.0,168,0
6,institutions,24,24,LSTM,n_bytes,196899829.61263677,109.38423690171646,-0.07190707998834922,0.538914680480957,0.0,168,0
7,institutions,24,24,LSTM,n_bytes,289204788.32013214,135.18072145317333,0.209852717984089,0.5570125579833984,0.0,168,0
8,institutions,24,24,LSTM,n_bytes,85750002.13087144,157.7174868987057,0.11287838385597504,0.5271017551422119,0.0,168,0
9,institutions,24,24,LSTM,n_bytes,4557893920.242949,53.533854123362104,0.14020473037344805,0.2998671531677246,0.0,168,0
10,institutions,24,24,LSTM,n_bytes,2121484418.851343,76.77963779687286,0.21457234556232418,0.40289807319641113,0.0,168,0
11,institutions,24,24,LSTM,n_bytes,1487883379.8769217,128.9092256378295,-0.04366431397150761,0.23879098892211914,0.0,168,0
12,institutions,24,24,LSTM,n_bytes,735485125.3579702,87.33199249337915,0.1288254865400621,0.9490005970001221,0.0,168,0
13,institutions,24,24,LSTM,n_bytes,993564537.2091677,112.96772264123041,-0.41138663661443986,0.2862105369567871,0.0,168,0
14,institutions,24,24,LSTM,n_bytes,498979040.0796187,125.4961751478107,-0.092775669947599,0.2181246280670166,0.0,168,0
15,institutions,24,24,LSTM,n_bytes,353186069.8439754,101.07436621517725,0.09279798626249947,0.5113813877105713,0.0,168,0
16,institutions,24,24,LSTM,n_bytes,229863166.17916498,92.26141186318154,0.1993181912379247,0.21664977073669434,0.0,168,0
17,institutions,24,24,LSTM,n_bytes,620137165.321573,76.33038100762806,-8.998147316430227e-05,0.32282137870788574,0.0,168,0
18,institutions,24,24,LSTM,n_bytes,124741953.36851117,96.72635070779761,0.14812865730536207,0.3164699077606201,0.0,168,0
19,institutions,24,24,LSTM,n_bytes,722751847.0581157,131.98455263206966,-0.027547304499373704,0.32770729064941406,0.0,168,0
20,institutions,24,24,LSTM,n_bytes,208516090.97215608,95.19902234598663,-0.0036276182880043972,0.27739500999450684,0.0,168,0
21,institutions,24,24,LSTM,n_bytes,3123817066.4797163,196.41146433588696,-0.27314425434808776,0.6887085437774658,0.0,168,0
22,institutions,24,24,LSTM,n_bytes,2712770525.689302,50.457517799795525,0.1922949672900861,0.5386519432067871,0.0,168,0
23,institutions,24,24,LSTM,n_bytes,4352566573.347169,33.79457449882039,0.6435799002561713,0.26428747177124023,0.0,168,0
24,institutions,24,24,LSTM,n_bytes,411903990.2715797,59.55332093461316,-0.07014353839562704,0.3677244186401367,0.0,168,0
25,institutions,24,24,LSTM,n_bytes,372143331.1130212,60.534905079657854,-0.07644992435061293,0.3402130603790283,0.0,168,0
26,institutions,24,24,LSTM,n_bytes,728512435.471753,60.70453868389561,0.16005396868161303,0.2283334732055664,0.0,168,0
27,institutions,24,24,LSTM,n_bytes,885511459.0455238,45.574440482409074,0.08883661858928882,0.29988741874694824,0.0,168,0
28,institutions,24,24,LSTM,n_bytes,382545616.1012317,56.52098377245686,0.01377162776202745,0.28313565254211426,0.0,168,0
29,institutions,24,24,LSTM,n_bytes,673604984.7742337,62.189925644388296,0.18341584336630967,0.2665250301361084,0.0,168,0
30,institutions,24,24,LSTM,n_bytes,368091284.8025664,50.99586216094036,0.008988447421890977,0.22263622283935547,0.0,168,0
31,institutions,24,24,LSTM,n_bytes,1350948507.1424172,57.334307947403964,-0.046945885461069814,0.4228959083557129,0.0,168,0
32,institutions,24,24,LSTM,n_bytes,955423482.4725529,36.332073808608726,0.17128868219923543,0.2999753952026367,0.0,168,0
33,institutions,24,24,LSTM,n_bytes,1476998823.51604,45.880440257773216,0.1528751164992166,0.6386675834655762,0.0,168,0
34,institutions,24,24,LSTM,n_bytes,1328756819.6070716,78.97540212729619,0.3390438665680603,0.22418761253356934,0.0,168,0
35,institutions,24,24,LSTM,n_bytes,146575082.10407603,94.41389846888664,0.20476856332916082,0.36160731315612793,0.0,168,0
36,institutions,24,24,LSTM,n_bytes,692790149.2760056,63.69067124336407,0.11829995216768319,0.2457587718963623,0.0,168,0
37,institutions,24,24,LSTM,n_bytes,6673.0961500455915,53.00764598183514,-2.9470800616270303,0.31790995597839355,0.0,168,0
38,institutions,24,24,LSTM,n_bytes,518656448.1353855,119.47103143572551,0.0891281109012575,0.6352899074554443,0.0,168,0
39,institutions,24,24,LSTM,n_bytes,1799938524.2980142,118.18675138294901,0.10408170178512022,0.2636141777038574,0.0,168,0
40,institutions,24,24,LSTM,n_bytes,267192529.72805783,83.6828396664563,0.31315584857656753,0.671497106552124,0.0,168,0
41,institutions,24,24,LSTM,n_bytes,482759614.02255255,93.56288588178855,0.3267187801390158,0.22764372825622559,0.0,168,0
42,institutions,24,24,LSTM,n_bytes,193490301.13886142,115.18243062301765,0.2160193528244886,0.2942543029785156,0.0,168,0
43,institutions,24,24,LSTM,n_bytes,326334207.93386203,101.12470558486868,0.11793047063558826,0.3717010021209717,0.0,168,0
45,institutions,24,24,LSTM,n_bytes,352308216.2755998,121.83382625969026,0.19204435591908653,0.30426931381225586,0.0,168,0
46,institutions,24,24,LSTM,n_bytes,268101958.39281085,121.4524235526389,0.09909041686314424,0.27712011337280273,0.0,168,0
47,institutions,24,24,LSTM,n_bytes,25460.872476285673,52.01185807634692,-0.28267368517595215,0.2829749584197998,0.0,168,0
48,institutions,24,24,LSTM,n_bytes,15847196054.789482,30.659728762456535,0.48161477066706526,0.4923555850982666,0.0,168,0
49,institutions,24,24,LSTM,n_bytes,40238153064.32396,47.858970543739524,0.11060689779384458,0.26352930068969727,0.0,168,0
50,institutions,24,24,LSTM,n_bytes,6498195272.360569,39.326475856560464,0.48559586941373867,0.2720952033996582,0.0,168,0
51,institutions,24,24,LSTM,n_bytes,11771348.40203158,135.58774703780608,-0.22942066660697646,0.27014970779418945,0.0,168,0
52,institutions,24,24,LSTM,n_bytes,3177601929.9915366,46.534119025749696,0.43560654977290836,0.37111568450927734,0.0,168,0
53,institutions,24,24,LSTM,n_bytes,6813804908.585255,36.43479456628017,0.5979172613886803,0.32208967208862305,0.0,168,0
54,institutions,24,24,LSTM,n_bytes,261189107.70694655,106.58136699616286,0.2690091939647269,0.3982696533203125,0.0,168,0
55,institutions,24,24,LSTM,n_bytes,2553789185.0763655,38.11020913798864,0.4692432095877137,0.4049241542816162,0.0,168,0
56,institutions,24,24,LSTM,n_bytes,4735480891.41936,44.27647349435519,0.464516956657967,0.2333054542541504,0.0,168,0
57,institutions,24,24,LSTM,n_bytes,6145957532.843455,33.87173939952742,0.557193308513994,0.2670857906341553,0.0,168,0
58,institutions,24,24,LSTM,n_bytes,174376633.39167404,105.773355400435,0.07080451703591861,0.6051332950592041,0.0,168,0
59,institutions,24,24,LSTM,n_bytes,4366118059.317649,43.63485663634125,0.37291256085425983,0.3164539337158203,0.0,168,0
60,institutions,24,24,LSTM,n_bytes,1081828794.1781294,43.972727085829376,0.17175535585918789,0.21849370002746582,0.0,168,0
61,institutions,24,24,LSTM,n_bytes,25442692704.333138,36.38437655352874,0.07105715624805686,0.5887339115142822,0.0,168,0
62,institutions,24,24,LSTM,n_bytes,541633233.5115176,126.07056968075379,0.22901273016578716,0.3777496814727783,0.0,168,0
63,institutions,24,24,LSTM,n_bytes,280811434.0313099,129.22700129050088,0.24825702515400871,0.853309154510498,0.0,168,0
64,institutions,24,24,LSTM,n_bytes,426926919.1967185,95.32816059240264,0.23933339003876886,0.7719125747680664,0.0,168,0
65,institutions,24,24,LSTM,n_bytes,485063944.037361,108.27987834205364,0.08999300971404867,0.38268017768859863,0.0,168,0
66,institutions,24,24,LSTM,n_bytes,644627887.0701429,66.9378794272786,0.16528467453386952,0.32195162773132324,0.0,168,0
67,institutions,24,24,LSTM,n_bytes,2475277918.5887194,48.67927997194326,0.3268426924336866,0.33333849906921387,0.0,168,0
68,institutions,24,24,LSTM,n_bytes,4801945196.427285,38.68854482639642,0.41703661589018737,0.24426627159118652,0.0,168,0
69,institutions,24,24,LSTM,n_bytes,908950273.3841305,64.68015522477319,0.3629330063722602,1.3220033645629883,0.0,168,0
70,institutions,24,24,LSTM,n_bytes,615293237.8932484,109.08356126382282,0.29232873800043957,0.635953426361084,0.0,168,0
71,institutions,24,24,LSTM,n_bytes,148887189.47178587,104.68608268043576,0.30373898174504,0.3496260643005371,0.0,168,0
72,institutions,24,24,LSTM,n_bytes,92922600.93484086,144.6891724159575,0.17551669321937857,0.32495951652526855,0.0,168,0
73,institutions,24,24,LSTM,n_bytes,549826724.2492272,109.57451836289968,0.19692528923900932,0.8443453311920166,0.0,168,0
74,institutions,24,24,LSTM,n_bytes,2259211483.6997924,48.35156946215593,0.3252823161939773,0.35340166091918945,0.0,168,0
75,institutions,24,24,LSTM,n_bytes,2687964604.562839,50.39241533220551,0.009239081304741048,0.2978360652923584,0.0,168,0
76,institutions,24,24,LSTM,n_bytes,386144383.3189902,118.31308518783159,0.21283567296400363,0.30450963973999023,0.0,168,0
77,institutions,24,24,LSTM,n_bytes,247754677.47558057,78.37180345137625,-0.07330573265642659,0.21100997924804688,0.0,168,0
78,institutions,24,24,LSTM,n_bytes,2480008797.080707,76.73215923901812,-0.21623602607340642,0.21352648735046387,0.0,168,0
79,institutions,24,24,LSTM,n_bytes,343535626.52940816,62.480951266669216,0.16822346937183275,0.4308738708496094,0.0,168,0
80,institutions,24,24,LSTM,n_bytes,2324661394.374394,30.973522953101913,0.4660812556226034,0.28916144371032715,0.0,168,0
81,institutions,24,24,LSTM,n_bytes,232488049.4695986,68.11513912369927,0.06490088823784057,0.3166627883911133,0.0,168,0
82,institutions,24,24,LSTM,n_bytes,108087543.4181969,127.99916797583657,0.09651903468479017,0.6017608642578125,0.0,168,0
83,institutions,24,24,LSTM,n_bytes,630237110.0286673,104.94716401538129,-0.16849898805902397,0.22202014923095703,0.0,168,0
84,institutions,24,24,LSTM,n_bytes,272359642.8463089,66.03451929276568,-0.151592358561508,0.45134973526000977,0.0,168,0
85,institutions,24,24,LSTM,n_bytes,235837806.4101384,79.04965952213028,0.0760531143628107,0.3059358596801758,0.0,168,0
86,institutions,24,24,LSTM,n_bytes,788020037.7253127,74.52444811220938,0.18962199459894613,0.6595802307128906,0.0,168,0
87,institutions,24,24,LSTM,n_bytes,2099048824.9820218,71.53941044665243,-0.09235549904211537,0.3735842704772949,0.0,168,0
88,institutions,24,24,LSTM,n_bytes,529107077.94742006,96.16869887638367,0.4329351788345318,0.4165067672729492,0.0,168,0
89,institutions,24,24,LSTM,n_bytes,2156201691.4787354,119.16229965889167,-0.19502566683349865,0.4911332130432129,0.0,168,0
90,institutions,24,24,LSTM,n_bytes,1263754140.1625557,51.3831560791419,0.15239678637607312,0.5439796447753906,0.0,168,0
91,institutions,24,24,LSTM,n_bytes,528844546.88550854,120.39594163791163,0.12447500082516261,0.2388143539428711,0.0,168,0
92,institutions,24,24,LSTM,n_bytes,154273677.1503519,148.15650811270572,0.024304717284946098,0.22769618034362793,0.0,168,0
93,institutions,24,24,LSTM,n_bytes,1375625394.2961433,126.57845286869684,0.30514661410487065,0.6107890605926514,0.0,168,0
94,institutions,24,24,LSTM,n_bytes,1263636532.1427577,48.20937189401873,0.39752088273361386,0.38674497604370117,0.0,168,0
95,institutions,24,24,LSTM,n_bytes,763592999.1413156,53.6311522214869,0.22402000431279134,0.4226398468017578,0.0,168,0
96,institutions,24,24,LSTM,n_bytes,292773013.6599573,86.24116409698956,0.2316003893514197,0.4030930995941162,0.0,168,0
97,institutions,24,24,LSTM,n_bytes,2420115672.27968,60.067201404969126,0.028732019882033333,0.41469526290893555,0.0,168,0
98,institutions,24,24,LSTM,n_bytes,847254382.0057541,72.49070559524816,0.138887176850505,0.2470080852508545,0.0,168,0
99,institutions,24,24,LSTM,n_bytes,288945999.59101385,133.644198279393,0.20607828466661215,0.7695455551147461,0.0,168,0
100,institutions,24,24,LSTM,n_bytes,278233275.51873505,73.98455754666,0.3006191948891924,0.5219147205352783,0.0,168,0
101,institutions,24,24,LSTM,n_bytes,1912974619.6722658,72.19800480409825,0.30964443886891624,0.23219037055969238,0.0,168,0
102,institutions,24,24,LSTM,n_bytes,185478587.530836,123.7024765535074,0.12857129857248628,0.5441930294036865,0.0,168,0
103,institutions,24,24,LSTM,n_bytes,97320054.08769555,75.23099984778541,0.06455667441231583,0.3160364627838135,0.0,168,0
104,institutions,24,24,LSTM,n_bytes,919442452.5635492,54.98451809983011,0.12766258928820318,0.41095614433288574,0.0,168,0
105,institutions,24,24,LSTM,n_bytes,1547314702.2152889,58.78869249623272,0.19916899996085946,0.25521183013916016,0.0,168,0
106,institutions,24,24,LSTM,n_bytes,1244705358.5218332,37.438292051753635,0.2525563777984393,0.6326084136962891,0.0,168,0
107,institutions,24,24,LSTM,n_bytes,452418235.4228423,141.6392642062903,0.20552744404041778,0.47295188903808594,0.0,168,0
108,institutions,24,24,LSTM,n_bytes,1505594676.6231105,28.470336496328567,0.5057775517005041,0.646291971206665,0.0,168,0
109,institutions,24,24,LSTM,n_bytes,2226243655.407304,33.06587787482038,0.3350162726879756,0.43857359886169434,0.0,168,0
110,institutions,24,24,LSTM,n_bytes,1104646812.5801415,122.0854595306226,0.01692031379500436,0.37413787841796875,0.0,168,0
111,institutions,24,24,LSTM,n_bytes,472913519.4349001,80.90446872279111,-0.017326286954598702,0.5670950412750244,0.0,168,0
112,institutions,24,24,LSTM,n_bytes,180565429.4969738,107.50605633100349,0.0837937800705647,0.3837265968322754,0.0,168,0
113,institutions,24,24,LSTM,n_bytes,2158242952.693932,38.66456182413719,0.1819964005735908,0.3329782485961914,0.0,168,0
