TS_ID,TS_GROUP,TRAINING_WINDOW,PREDICTION_WINDOW,MODEL,TS_METRIC,RMSE,SMAPE,R2_SCORE,TRAINING_TIME,PREDICTION_TIME,N_SAMPLES,N_MISSING
0,institutions,24,24,LSTM,n_bytes,18171289436.724213,24.19469072496873,0.7116194942740572,0.5812282562255859,0.0,168,0
1,institutions,24,24,LSTM,n_bytes,20764118835.199623,34.49456942321165,0.1820986020280817,0.17435169219970703,0.0,168,0
2,institutions,24,24,LSTM,n_bytes,36827318493.39444,32.618395617738436,0.11481846123836348,0.12062907218933105,0.0,168,0
3,institutions,24,24,LSTM,n_bytes,8955541126.347883,38.37638441614914,0.5223918541489381,0.17780828475952148,0.0,168,0
4,institutions,24,24,LSTM,n_bytes,132394650.49081688,121.57893014714772,0.2322240510012038,0.13930583000183105,0.0,168,0
5,institutions,24,24,LSTM,n_bytes,1099810478.4277012,150.15276244560985,0.11808917518988349,0.172271728515625,0.0,168,0
6,institutions,24,24,LSTM,n_bytes,197058070.22341624,122.0839167616957,-0.073630671009286,0.11809778213500977,0.0,168,0
7,institutions,24,24,LSTM,n_bytes,283938016.6252713,125.81595371364642,0.23836975699490948,0.2438805103302002,0.0,168,0
8,institutions,24,24,LSTM,n_bytes,87215003.45674022,152.40007569466476,0.08230727822819306,0.1277754306793213,0.0,168,0
9,institutions,24,24,LSTM,n_bytes,4445235740.015496,54.920388794755496,0.18218283845926442,0.13986825942993164,0.0,168,0
10,institutions,24,24,LSTM,n_bytes,1857515714.3111937,73.47318938914388,0.39786830448285204,0.1404268741607666,0.0,168,0
11,institutions,24,24,LSTM,n_bytes,1491908758.7459474,128.2164597209584,-0.049319094855701406,0.1433403491973877,0.0,168,0
12,institutions,24,24,LSTM,n_bytes,766312045.6232225,83.9131200150585,0.05426670625341801,0.10842323303222656,0.0,168,0
13,institutions,24,24,LSTM,n_bytes,963437280.0181341,113.12492185962635,-0.3270910842357353,0.20104050636291504,0.0,168,0
14,institutions,24,24,LSTM,n_bytes,487476539.6854108,124.40908596910236,-0.04297488349020284,0.12119126319885254,0.0,168,0
15,institutions,24,24,LSTM,n_bytes,359287049.3246406,110.50285291205131,0.061185043768386294,0.2223517894744873,0.0,168,0
16,institutions,24,24,LSTM,n_bytes,234794335.7623397,94.6041855257013,0.16459624309529208,0.09994244575500488,0.0,168,0
17,institutions,24,24,LSTM,n_bytes,571112577.8577677,76.23919367802647,0.15178293223516004,0.1184244155883789,0.0,168,0
18,institutions,24,24,LSTM,n_bytes,123766291.95150688,96.75550812163706,0.16140226144436143,0.1412825584411621,0.0,168,0
19,institutions,24,24,LSTM,n_bytes,716525328.9282758,133.7611816895253,-0.009918896263416466,0.10543155670166016,0.0,168,0
20,institutions,24,24,LSTM,n_bytes,205823781.84118453,91.29976578871836,0.02212225564267445,0.3023669719696045,0.0,168,0
21,institutions,24,24,LSTM,n_bytes,2782527878.831242,194.82750322624332,-0.01014908907623746,0.12537598609924316,0.0,168,0
22,institutions,24,24,LSTM,n_bytes,2673226102.8115597,50.4229081633198,0.2156713867489508,0.11544036865234375,0.0,168,0
23,institutions,24,24,LSTM,n_bytes,4410821380.761531,37.43360800116508,0.6339753916148454,0.18243098258972168,0.0,168,0
24,institutions,24,24,LSTM,n_bytes,422019269.99161845,62.54496162772983,-0.12334873100488308,0.15575504302978516,0.0,168,0
25,institutions,24,24,LSTM,n_bytes,333412834.14357525,54.40585577031505,0.13595178665086816,0.1821146011352539,0.0,168,0
26,institutions,24,24,LSTM,n_bytes,808491654.7684779,61.51184617917265,-0.034495311067621603,0.15838384628295898,0.0,168,0
27,institutions,24,24,LSTM,n_bytes,877304735.4142348,45.19839964051337,0.10564727711579658,0.1842970848083496,0.0,168,0
28,institutions,24,24,LSTM,n_bytes,381674434.4607692,56.1782909385198,0.018258442893892002,0.12929654121398926,0.0,168,0
29,institutions,24,24,LSTM,n_bytes,701266775.4694318,63.23162871324017,0.11497224291787667,0.11943793296813965,0.0,168,0
30,institutions,24,24,LSTM,n_bytes,366416736.9316388,51.35204395303171,0.017984702441689593,0.1791701316833496,0.0,168,0
31,institutions,24,24,LSTM,n_bytes,1235351781.5725803,55.31540050954605,0.12455687849200636,0.221144437789917,0.0,168,0
32,institutions,24,24,LSTM,n_bytes,998185327.9366198,37.48978380190486,0.09544743041191106,0.1900787353515625,0.0,168,0
33,institutions,24,24,LSTM,n_bytes,1465909486.1347246,46.03518427929812,0.1655478256643187,0.18295669555664062,0.0,168,0
34,institutions,24,24,LSTM,n_bytes,1366360436.5338159,81.28696665014537,0.3011046019514251,0.17981839179992676,0.0,168,0
35,institutions,24,24,LSTM,n_bytes,145629164.38234365,86.55962794487489,0.21499944667691018,0.14275813102722168,0.0,168,0
36,institutions,24,24,LSTM,n_bytes,693556360.6891149,65.16319725740057,0.11634859006276221,0.16639065742492676,0.0,168,0
37,institutions,24,24,LSTM,n_bytes,4952.215903616967,47.9754394279161,-1.1738036403451972,0.11299872398376465,0.0,168,0
38,institutions,24,24,LSTM,n_bytes,499810204.3341814,120.45615954231445,0.15412152554182723,0.07512283325195312,0.0,168,0
39,institutions,24,24,LSTM,n_bytes,1770195319.797288,121.5586818842431,0.13344638481275606,0.10259866714477539,0.0,168,0
40,institutions,24,24,LSTM,n_bytes,295022739.397571,91.08313736142715,0.1626238957974696,0.08044242858886719,0.0,168,0
41,institutions,24,24,LSTM,n_bytes,465828283.7533358,89.70270843940021,0.3731172115628929,0.1350269317626953,0.0,168,0
42,institutions,24,24,LSTM,n_bytes,191178599.54048994,114.50728622676208,0.23464047247400077,0.2593379020690918,0.0,168,0
43,institutions,24,24,LSTM,n_bytes,324449227.7479227,103.51509904417793,0.12809110673785562,0.13984203338623047,0.0,168,0
45,institutions,24,24,LSTM,n_bytes,343827328.628996,135.2246055022958,0.23047494974975635,0.09588098526000977,0.0,168,0
46,institutions,24,24,LSTM,n_bytes,254471985.37225506,117.18211060778374,0.18836420869897663,0.20804548263549805,0.0,168,0
47,institutions,24,24,LSTM,n_bytes,24173.43168019511,47.687525874784555,-0.15623533330147032,0.14237165451049805,0.0,168,0
48,institutions,24,24,LSTM,n_bytes,16754715044.56408,33.45945405860074,0.4205421527223445,0.1344151496887207,0.0,168,0
49,institutions,24,24,LSTM,n_bytes,40284431006.47149,48.257600773845944,0.10855993748075388,0.20890593528747559,0.0,168,0
50,institutions,24,24,LSTM,n_bytes,6087793592.173737,35.630674165282535,0.5485197364679059,0.1287248134613037,0.0,168,0
51,institutions,24,24,LSTM,n_bytes,11475872.865161125,145.64224887484207,-0.16847530457592175,0.1459674835205078,0.0,168,0
52,institutions,24,24,LSTM,n_bytes,3246676842.516984,51.22164305250338,0.4108022080526238,0.17018532752990723,0.0,168,0
53,institutions,24,24,LSTM,n_bytes,6277190381.077991,32.60171205678966,0.658754729587665,0.12763142585754395,0.0,168,0
54,institutions,24,24,LSTM,n_bytes,291843243.82739866,113.02690710835932,0.08735668092396687,0.10947203636169434,0.0,168,0
55,institutions,24,24,LSTM,n_bytes,2574201730.0276036,38.823075598493126,0.460724577272143,0.18177270889282227,0.0,168,0
56,institutions,24,24,LSTM,n_bytes,5220361927.370587,51.234786313252314,0.3492431124955603,0.11729001998901367,0.0,168,0
57,institutions,24,24,LSTM,n_bytes,6374635781.56288,40.107866066264805,0.5236284491439481,0.10601806640625,0.0,168,0
58,institutions,24,24,LSTM,n_bytes,162106669.6740536,102.24065463017322,0.196969057347272,0.10835027694702148,0.0,168,0
59,institutions,24,24,LSTM,n_bytes,4174081832.3239136,44.039903117001955,0.42686217621241085,0.14481592178344727,0.0,168,0
60,institutions,24,24,LSTM,n_bytes,1095578232.695975,45.3918554324261,0.15056851782289193,0.11070966720581055,0.0,168,0
61,institutions,24,24,LSTM,n_bytes,25233730420.176952,34.466952148323806,0.08625341601372871,0.16752338409423828,0.0,168,0
62,institutions,24,24,LSTM,n_bytes,532696072.5467813,125.28893753154,0.25424600408288345,0.14568710327148438,0.0,168,0
63,institutions,24,24,LSTM,n_bytes,279520312.0371738,118.21339894843679,0.2551538994639543,0.14802050590515137,0.0,168,0
64,institutions,24,24,LSTM,n_bytes,417518810.1100474,95.07341502945191,0.272489331347086,0.19748759269714355,0.0,168,0
65,institutions,24,24,LSTM,n_bytes,447265977.5871459,115.24196190937992,0.22628953955138842,0.17267680168151855,0.0,168,0
66,institutions,24,24,LSTM,n_bytes,655320616.126775,68.4671888131275,0.13736342056369755,0.14823365211486816,0.0,168,0
67,institutions,24,24,LSTM,n_bytes,2495267905.1849556,49.84829538921496,0.3159261473081315,0.1838512420654297,0.0,168,0
68,institutions,24,24,LSTM,n_bytes,4934170703.640563,38.57509654330996,0.38448984880969606,0.10397887229919434,0.0,168,0
69,institutions,24,24,LSTM,n_bytes,974441081.9911759,68.2408618427781,0.2678230941056906,0.11042356491088867,0.0,168,0
70,institutions,24,24,LSTM,n_bytes,612879207.6886612,100.2069294648657,0.29787077377089877,0.14910626411437988,0.0,168,0
71,institutions,24,24,LSTM,n_bytes,163979396.99721545,112.83710349938319,0.15542934562808475,0.1697392463684082,0.0,168,0
72,institutions,24,24,LSTM,n_bytes,90259608.64504218,158.1290338239813,0.22209592853893068,0.13297343254089355,0.0,168,0
73,institutions,24,24,LSTM,n_bytes,546182526.2542069,133.42043373830944,0.207535412879861,0.2589688301086426,0.0,168,0
74,institutions,24,24,LSTM,n_bytes,2498307786.3621116,72.05195849576647,0.1749121307420478,0.12391829490661621,0.0,168,0
75,institutions,24,24,LSTM,n_bytes,2770319385.538955,55.60080905317856,-0.052401499254770556,0.15263962745666504,0.0,168,0
76,institutions,24,24,LSTM,n_bytes,408154820.8410718,118.37884949160976,0.1205405478295909,0.18601775169372559,0.0,168,0
77,institutions,24,24,LSTM,n_bytes,240707964.6664254,79.291738584955,-0.013119431990665786,0.11512541770935059,0.0,168,0
78,institutions,24,24,LSTM,n_bytes,2396296360.628358,75.1988731124187,-0.13551395818730105,0.09409713745117188,0.0,168,0
79,institutions,24,24,LSTM,n_bytes,356854825.3233801,68.75514384871425,0.10247564064849668,0.08421921730041504,0.0,168,0
80,institutions,24,24,LSTM,n_bytes,2530988266.523173,34.21474481907841,0.3670986458476403,0.17168188095092773,0.0,168,0
81,institutions,24,24,LSTM,n_bytes,226502202.10441357,67.94111129138051,0.11243282130729226,0.1367034912109375,0.0,168,0
82,institutions,24,24,LSTM,n_bytes,107433906.06524886,129.23396789144022,0.10741322796574948,0.11466097831726074,0.0,168,0
83,institutions,24,24,LSTM,n_bytes,629224648.7511771,100.34083284974294,-0.16474767072083796,0.12384438514709473,0.0,168,0
84,institutions,24,24,LSTM,n_bytes,254637633.0488103,62.2197809980207,-0.006603508611506603,0.1334855556488037,0.0,168,0
85,institutions,24,24,LSTM,n_bytes,239190664.95397002,80.55664887270663,0.04959523548941891,0.09605216979980469,0.0,168,0
