TS_ID,TS_GROUP,TRAINING_WINDOW,PREDICTION_WINDOW,MODEL,TS_METRIC,RMSE,SMAPE,R2_SCORE,TRAINING_TIME,PREDICTION_TIME,N_SAMPLES,N_MISSING
0,institutions,744,168,GRU,n_bytes,27178775699.784935,46.00269240864401,0.3701263935617177,0.23072385787963867,0.0,22,0
1,institutions,744,168,GRU,n_bytes,27749967996.117775,42.65233663362033,-0.4224989251447884,0.05204415321350098,0.0,22,0
2,institutions,744,168,GRU,n_bytes,46593591680.81274,41.51705093127033,-0.3710478490637441,0.035219430923461914,0.0,22,0
3,institutions,744,168,GRU,n_bytes,10604556605.825865,52.498530284492496,0.34826902699488327,0.06181764602661133,0.0,22,0
4,institutions,744,168,GRU,n_bytes,124083947.91642845,137.99784258179255,0.3355505418659076,0.036830902099609375,0.0,22,0
5,institutions,744,168,GRU,n_bytes,1028157406.4613135,126.15447324479369,0.17590411721385135,0.06058812141418457,0.0,22,0
6,institutions,744,168,GRU,n_bytes,198067133.20970085,113.80555223130774,-0.05399874805507743,0.03837466239929199,0.0,22,0
7,institutions,744,168,GRU,n_bytes,293948128.80967253,142.99490955838533,0.20610715881442188,0.04633665084838867,0.0,22,0
8,institutions,744,168,GRU,n_bytes,83931118.40105984,160.27669561799,0.16243538306611338,0.04700756072998047,0.0,22,0
9,institutions,744,168,GRU,n_bytes,4908282763.469293,55.32169649481094,0.02179405677397106,0.1543586254119873,0.0,22,0
10,institutions,744,168,GRU,n_bytes,2217496269.767987,75.6449547536682,0.15196654292389578,0.06107735633850098,0.0,22,0
11,institutions,744,168,GRU,n_bytes,1472805726.8300335,129.94037326882128,-0.03229167226617724,0.03006124496459961,0.0,22,0
12,institutions,744,168,GRU,n_bytes,713409751.3260834,102.33115901031738,0.21202010431929041,0.04364585876464844,0.0,22,0
13,institutions,744,168,GRU,n_bytes,1282986453.2468617,134.45303434579301,-1.4465212781682397,0.048476219177246094,0.0,22,0
14,institutions,744,168,GRU,n_bytes,465414556.5083489,122.20811702431378,0.007437527604715055,0.05088949203491211,0.0,22,0
15,institutions,744,168,GRU,n_bytes,369229266.1367539,111.00905146426925,0.07727250134964292,0.053827762603759766,0.0,22,0
16,institutions,744,168,GRU,n_bytes,216764439.61818397,98.01801275310285,0.2846405121740865,0.0487828254699707,0.0,22,0
17,institutions,744,168,GRU,n_bytes,588673280.9791836,88.41298994937486,-0.397587654244139,0.06762361526489258,0.0,22,0
18,institutions,744,168,GRU,n_bytes,133357887.14707103,112.56082195567826,0.07345840363534006,0.07769918441772461,0.0,22,0
19,institutions,744,168,GRU,n_bytes,712300565.3084573,134.3242271044262,-0.004639216640559107,0.03127098083496094,0.0,22,0
20,institutions,744,168,GRU,n_bytes,214088394.5008921,100.06555707301663,0.0032371939821810303,0.04745650291442871,0.0,22,0
21,institutions,744,168,GRU,n_bytes,2954400828.959042,196.2315619261561,-0.06670201694731914,0.11417531967163086,0.0,22,0
22,institutions,744,168,GRU,n_bytes,2613790363.088735,50.17567839352992,0.23764561978291776,0.047685861587524414,0.0,22,0
23,institutions,744,168,GRU,n_bytes,5721693669.820006,58.59301641719894,0.40596028776426085,0.06615161895751953,0.0,22,0
24,institutions,744,168,GRU,n_bytes,407657255.07752115,61.94952299492339,-0.05641030436108507,0.032010793685913086,0.0,22,0
25,institutions,744,168,GRU,n_bytes,373400668.42734146,69.55757310316231,-0.07884973641120041,0.053104400634765625,0.0,22,0
